srcStateName,srcYear,Type of production of crops,Crop type,Crop Production,Area,Estimate of yield,YearCode,Year
Nagaland,2017-18,Non Foodgrains,Cotton (Lintt),,,,2017,"Financial Year (Apr - Mar), 2017"
Assam,2012-13,Foodgrains,Pulses,84.4,141.2,598,2012,"Financial Year (Apr - Mar), 2012"
Manipur,2017-18,Foodgrains,Rice,607.8,236.7,2568,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2016-17,Fruits,Fruits,388.5,39.2,,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2012-13,Foodgrains,Coarse Cereals,44.7,19.4,2301,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2019-20,Vegetables,Vegetables,452.3,40.7,,2019,"Financial Year (Apr - Mar), 2019"
Telangana,2011-12,Foodgrains,Wheat,11,8,1375,2011,"Financial Year (Apr - Mar), 2011"
Jammu and Kashmir,2015-16,Foodgrains,Rice,646.4,304.5,2123,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2016-17,Non Foodgrains,Sugarcane,7830,103,76019,2016,"Financial Year (Apr - Mar), 2016"
Sikkim,2013-14,Fruits,Fruits,24.1,16,,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2016-17,Foodgrains,Rice,3841.8,1714.3,2241,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2017-18,Foodgrains,Coarse Cereals,2639.3,707,3733,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2016-17,Non Foodgrains,Raw Jute & Mesta,,,,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2012-13,Fruits,Fruits,312.2,86.9,,2012,"Financial Year (Apr - Mar), 2012"
Mizoram,2011-12,Non Foodgrains,Sugarcane,7.5,1.4,5284,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2012-13,Foodgrains,Rice,6608.8,3784.8,1746,2012,"Financial Year (Apr - Mar), 2012"
Sikkim,2011-12,Foodgrains,Coarse Cereals,73.8,47.9,1539,2011,"Financial Year (Apr - Mar), 2011"
Uttarakhand,2012-13,Non Foodgrains,Oilseeds,39.7,32.2,1235,2012,"Financial Year (Apr - Mar), 2012"
Mizoram,2016-17,Non Foodgrains,Oilseeds,2.5,2.2,1140,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2011-12,Vegetables,Vegetables,3902.6,261.2,,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2018-19,Non Foodgrains,Oilseeds,1330.8,1233,1079,2018,"Financial Year (Apr - Mar), 2018"
Assam,2012-13,Non Foodgrains,Sugarcane,1028.2,28.9,35613,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2017-18,Foodgrains,Rice,6551.3,3766.4,1739,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2019-20,Foodgrains,Pulses,2447.3,2370,1033,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2017-18,Foodgrains,Coarse Cereals,833.8,524,1591,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,2016-17,Non Foodgrains,Oilseeds,36.6,35.2,1040,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2011-12,Non Foodgrains,Raw Jute & Mesta,1738.8,149.1,2099,2011,"Financial Year (Apr - Mar), 2011"
Telangana,2015-16,Foodgrains,Pulses,239.6,472,508,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2018-19,Fruits,Fruits,451.2,46.7,,2018,"Financial Year (Apr - Mar), 2018"
Madhya Pradesh,2015-16,Fruits,Fruits,5783.1,276.8,,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2012-13,Non Foodgrains,Sugarcane,304.5,2,150230,2012,"Financial Year (Apr - Mar), 2012"
Tripura,2016-17,Vegetables,Vegetables,817.9,46.7,,2016,"Financial Year (Apr - Mar), 2016"
Delhi,2011-12,Foodgrains,Pulses,0.7,0.4,1939,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2015-16,Foodgrains,Coarse Cereals,7.7,4.9,1591,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2019-20,Non Foodgrains,Oilseeds,5.6,6.1,925,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2015-16,Foodgrains,Rice,15953.9,5524,2888,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2014-15,Non Foodgrains,Oilseeds,31.7,36.7,863,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2014-15,Foodgrains,Pulses,263,408.1,644,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2012-13,Foodgrains,Coarse Cereals,1003,524,1914,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2016-17,Non Foodgrains,Sugarcane,848,20.8,40769,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2015-16,Fruits,Fruits,467.8,51.1,,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2018-19,Non Foodgrains,Sugarcane,35.9,0.7,54251,2018,"Financial Year (Apr - Mar), 2018"
Mizoram,2016-17,Fruits,Fruits,339.1,62.6,,2016,"Financial Year (Apr - Mar), 2016"
Goa,2014-15,Foodgrains,Rice,120.5,42,2871,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2016-17,Foodgrains,Wheat,1875.1,1272.1,1018,2016,"Financial Year (Apr - Mar), 2016"
Delhi,2018-19,Foodgrains,Rice,16.8,5.9,2877,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2012-13,Vegetables,Vegetables,3782.6,184.1,,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2013-14,Non Foodgrains,Raw Jute & Mesta,83,9,1660,2013,"Financial Year (Apr - Mar), 2013"
Goa,2016-17,Foodgrains,Rice,113.2,40.8,2774,2016,"Financial Year (Apr - Mar), 2016"
Jammu and Kashmir,2012-13,Foodgrains,Coarse Cereals,537.3,355.2,1513,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2018-19,Vegetables,Vegetables,8466.2,613.6,,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2016-17,Foodgrains,Coarse Cereals,590.8,322.3,1833,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2014-15,Fruits,Fruits,2554.1,194.7,,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2017-18,Fruits,Fruits,2666.2,229.7,,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2013-14,Foodgrains,Pulses,42.5,37.8,1124,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2014-15,Foodgrains,Wheat,314.3,321,,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2018-19,Foodgrains,Coarse Cereals,1864.5,489,3813,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2013-14,Non Foodgrains,Sugarcane,12881.8,258.1,49916,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2014-15,Foodgrains,Coarse Cereals,43.4,20.9,2075,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2018-19,Non Foodgrains,Cotton (Lintt),455,157,493,2018,"Financial Year (Apr - Mar), 2018"
Kerala,2012-13,Fruits,Fruits,2583.9,314.6,,2012,"Financial Year (Apr - Mar), 2012"
Maharashtra,2011-12,Non Foodgrains,Cotton (Lintt),7200,4125,297,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2012-13,Foodgrains,Coarse Cereals,525,145,3621,2012,"Financial Year (Apr - Mar), 2012"
Goa,2019-20,Foodgrains,Coarse Cereals,,,,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2016-17,Vegetables,Vegetables,8761.6,639.4,,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2012-13,Foodgrains,Wheat,1.3,0.7,2000,2012,"Financial Year (Apr - Mar), 2012"
Himachal Pradesh,2016-17,Non Foodgrains,Oilseeds,6.2,12.7,487,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2016-17,Vegetables,Vegetables,6728,489.2,,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2018-19,Foodgrains,Wheat,,,1815,2018,"Financial Year (Apr - Mar), 2018"
Mizoram,2018-19,Foodgrains,Rice,60,35.6,1688,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2016-17,Foodgrains,Wheat,16440.5,3495,4704,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2013-14,Foodgrains,Coarse Cereals,2486.8,562.3,4422,2013,"Financial Year (Apr - Mar), 2013"
Himachal Pradesh,2015-16,Foodgrains,Wheat,667.6,341,,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,2011-12,Non Foodgrains,Oilseeds,1113.7,449.2,2479,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2012-13,Non Foodgrains,Cotton (Lintt),,,,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2011-12,Non Foodgrains,Sugarcane,12842.5,159,80770,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2013-14,Foodgrains,Rice,20.3,11.2,1815,2013,"Financial Year (Apr - Mar), 2013"
Assam,2019-20,Foodgrains,Wheat,14.4,11.3,1273,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2013-14,Non Foodgrains,Raw Jute & Mesta,,,,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2019-20,Non Foodgrains,Raw Jute & Mesta,1.9,1,357,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2011-12,Foodgrains,Wheat,4072,1351,3014,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2016-17,Foodgrains,Coarse Cereals,6.7,4.8,1400,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2013-14,Non Foodgrains,Oilseeds,6634.9,7732,858,2013,"Financial Year (Apr - Mar), 2013"
Bihar,2011-12,Fruits,Fruits,3946.4,299.2,,2011,"Financial Year (Apr - Mar), 2011"
Odisha,2013-14,Vegetables,Vegetables,9433.7,677.3,,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2015-16,Foodgrains,Pulses,527,595.1,886,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2017-18,Foodgrains,Coarse Cereals,0.4,0.4,1198,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2018-19,Vegetables,Vegetables,163.8,34.7,,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2018-19,Non Foodgrains,Raw Jute & Mesta,30.3,3,1820,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2015-16,Vegetables,Vegetables,3195.4,171.8,,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2018-19,Foodgrains,Pulses,2.3,2.5,927,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2014-15,Non Foodgrains,Oilseeds,127,116.2,1093,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2018-19,Foodgrains,Rice,2893.9,1527.1,1895,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2014-15,Non Foodgrains,Cotton (Lintt),400,127,535,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2014-15,Foodgrains,Wheat,654.2,347.8,1881,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2017-18,Foodgrains,Rice,14967,5115.8,2926,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2019-20,Non Foodgrains,Oilseeds,2.8,2.5,1123,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2015-16,Foodgrains,Pulses,1229,1449,848,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2012-13,Foodgrains,Wheat,,,1595,2012,"Financial Year (Apr - Mar), 2012"
Karnataka,2016-17,Foodgrains,Pulses,1737.9,2965.7,586,2016,"Financial Year (Apr - Mar), 2016"
Delhi,2016-17,Foodgrains,Rice,17.3,6,2890,2016,"Financial Year (Apr - Mar), 2016"
Sikkim,2016-17,Fruits,Fruits,25.6,18.6,,2016,"Financial Year (Apr - Mar), 2016"
Karnataka,2018-19,Non Foodgrains,Sugarcane,42408,471.2,90000,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2016-17,Foodgrains,Coarse Cereals,6734.5,5938.9,1134,2016,"Financial Year (Apr - Mar), 2016"
Nagaland,2016-17,Foodgrains,Pulses,44.5,38.7,1151,2016,"Financial Year (Apr - Mar), 2016"
Jammu and Kashmir,2012-13,Non Foodgrains,Cotton (Lintt),,,,2012,"Financial Year (Apr - Mar), 2012"
Jammu and Kashmir,2019-20,Vegetables,Vegetables,1337.1,60.1,,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2013-14,Fruits,Fruits,13457.9,1565,,2013,"Financial Year (Apr - Mar), 2013"
Delhi,2017-18,Foodgrains,Rice,16.8,5.9,2876,2017,"Financial Year (Apr - Mar), 2017"
Goa,2012-13,Foodgrains,Rice,122.8,45.8,2679,2012,"Financial Year (Apr - Mar), 2012"
Madhya Pradesh,2015-16,Non Foodgrains,Cotton (Lintt),1800,563,544,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2017-18,Foodgrains,Rice,4123.9,2035,2026,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2016-17,Non Foodgrains,Oilseeds,57.8,41.7,1386,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2016-17,Foodgrains,Pulses,1.7,1.7,984,2016,"Financial Year (Apr - Mar), 2016"
Nagaland,2013-14,Fruits,Fruits,411,40.6,,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2015-16,Foodgrains,Wheat,541.5,278.1,,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2014-15,Non Foodgrains,Raw Jute & Mesta,68.4,12.8,958,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2019-20,Non Foodgrains,Sugarcane,2012.9,26,77418,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2014-15,Non Foodgrains,Cotton (Lintt),,,,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2016-17,Non Foodgrains,Cotton (Lintt),1564,472,563,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2013-14,Non Foodgrains,Raw Jute & Mesta,1745.1,121.1,2594,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2019-20,Vegetables,Vegetables,515.9,49.1,,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,2018-19,Foodgrains,Coarse Cereals,5147.2,1841,2796,2018,"Financial Year (Apr - Mar), 2018"
Tripura,2015-16,Non Foodgrains,Oilseeds,9,11.7,771,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015-16,Foodgrains,Rice,549.3,196.9,2790,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2011-12,Non Foodgrains,Oilseeds,165.8,250.7,661,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2011-12,Non Foodgrains,Oilseeds,672.4,676.1,994,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2017-18,Non Foodgrains,Raw Jute & Mesta,,,,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2017-18,Foodgrains,Pulses,443.8,457.9,969,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2015-16,Foodgrains,Rice,338.8,237,1429,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2015-16,Foodgrains,Pulses,1138.8,2823,403,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2011-12,Foodgrains,Pulses,343.4,729.3,471,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2018-19,Vegetables,Vegetables,7091.4,259.8,,2018,"Financial Year (Apr - Mar), 2018"
Sikkim,2014-15,Non Foodgrains,Oilseeds,7.1,7.9,891,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2011-12,Foodgrains,Coarse Cereals,331,248,1335,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2017-18,Foodgrains,Pulses,30,31.1,965,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2018-19,Foodgrains,Wheat,564.6,319,,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,2013-14,Foodgrains,Coarse Cereals,685.9,317.5,2160,2013,"Financial Year (Apr - Mar), 2013"
Arunachal Pradesh,2015-16,Foodgrains,Coarse Cereals,102.8,76.3,1347,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2018-19,Vegetables,Vegetables,455.9,41.1,,2018,"Financial Year (Apr - Mar), 2018"
Manipur,2016-17,Fruits,Fruits,478.8,50.6,,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2019-20,Non Foodgrains,Oilseeds,6451.7,7470,864,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2014-15,Non Foodgrains,Oilseeds,174.2,291.1,599,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2012-13,Foodgrains,Rice,15023.7,5444.3,2760,2012,"Financial Year (Apr - Mar), 2012"
Rajasthan,2019-20,Non Foodgrains,Oilseeds,6769.2,5422.7,1248,2019,"Financial Year (Apr - Mar), 2019"
Manipur,2013-14,Non Foodgrains,Cotton (Lintt),,,,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2015-16,Non Foodgrains,Sugarcane,40.5,0.8,51062,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2013-14,Fruits,Fruits,678.5,171.6,,2013,"Financial Year (Apr - Mar), 2013"
Andhra Pradesh,2014-15,Fruits,Fruits,9121.9,545.9,,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014-15,Non Foodgrains,Oilseeds,5314.3,4457.2,1192,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2013-14,Fruits,Fruits,7369.9,328.6,,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2013-14,Vegetables,Vegetables,8678.8,289.7,,2013,"Financial Year (Apr - Mar), 2013"
Punjab,2011-12,Foodgrains,Coarse Cereals,552,141,3915,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2019-20,Non Foodgrains,Sugarcane,7302,91,80242,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2016-17,Non Foodgrains,Sugarcane,11950,169,44841,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2014-15,Foodgrains,Coarse Cereals,2371,732.7,3236,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2011-12,Foodgrains,Wheat,302.6,158.6,1908,2011,"Financial Year (Apr - Mar), 2011"
Madhya Pradesh,2012-13,Foodgrains,Wheat,13133.4,5300,1944,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2016-17,Foodgrains,Pulses,75.9,84.6,897,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2015-16,Foodgrains,Rice,5789.4,3816,1517,2015,"Financial Year (Apr - Mar), 2015"
Goa,2017-18,Foodgrains,Coarse Cereals,,,,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2018-19,Non Foodgrains,Cotton (Lintt),,,,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2011-12,Non Foodgrains,Cotton (Lintt),2300,560,698,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2016-17,Foodgrains,Coarse Cereals,21.3,15.7,1355,2016,"Financial Year (Apr - Mar), 2016"
Uttar Pradesh,2016-17,Non Foodgrains,Oilseeds,1050.2,1199.2,876,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2018-19,Foodgrains,Coarse Cereals,2155.7,608,3546,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2015-16,Non Foodgrains,Sugarcane,12649.3,244,51837,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2014-15,Non Foodgrains,Sugarcane,,,,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2019-20,Non Foodgrains,Raw Jute & Mesta,2.2,1,393,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2019-20,Foodgrains,Coarse Cereals,525.1,273.4,1920,2019,"Financial Year (Apr - Mar), 2019"
Nagaland,2016-17,Non Foodgrains,Cotton (Lintt),,,,2016,"Financial Year (Apr - Mar), 2016"
Jammu and Kashmir,2016-17,Foodgrains,Wheat,475.5,290.3,,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2014-15,Non Foodgrains,Sugarcane,2105.5,17.7,118754,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2018-19,Foodgrains,Wheat,32741.3,9540,3432,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2017-18,Vegetables,Vegetables,15863.2,824.6,,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2011-12,Foodgrains,Wheat,4725,2141.9,2206,2011,"Financial Year (Apr - Mar), 2011"
Telangana,2014-15,Foodgrains,Rice,4440.8,1415,3138,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2011-12,Non Foodgrains,Raw Jute & Mesta,3,1.4,386,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2013-14,Foodgrains,Rice,509.2,199.6,2551,2013,"Financial Year (Apr - Mar), 2013"
Telangana,2017-18,Non Foodgrains,Cotton (Lintt),5195,1897,466,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2011-12,Foodgrains,Pulses,2268,3273,693,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2013-14,Non Foodgrains,Oilseeds,182.9,275.8,663,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2017-18,Non Foodgrains,Oilseeds,13.8,17.7,780,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2011-12,Non Foodgrains,Sugarcane,6959,95,73253,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2016-17,Vegetables,Vegetables,3370,293.5,,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2019-20,Vegetables,Vegetables,5559.3,273.3,,2019,"Financial Year (Apr - Mar), 2019"
Uttarakhand,2016-17,Foodgrains,Coarse Cereals,308,214,1439,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2018-19,Foodgrains,Rice,12821.6,3103,4132,2018,"Financial Year (Apr - Mar), 2018"
Chhattisgarh,2017-18,Foodgrains,Pulses,550,789.3,697,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2015-16,Non Foodgrains,Cotton (Lintt),,,,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2018-19,Non Foodgrains,Sugarcane,0.4,0.1,2992,2018,"Financial Year (Apr - Mar), 2018"
Assam,2016-17,Vegetables,Vegetables,3329.6,300.8,,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2017-18,Non Foodgrains,Sugarcane,381.9,5.4,70364,2017,"Financial Year (Apr - Mar), 2017"
Assam,2012-13,Vegetables,Vegetables,3415.1,278.7,,2012,"Financial Year (Apr - Mar), 2012"
Meghalaya,2016-17,Non Foodgrains,Cotton (Lintt),,,,2016,"Financial Year (Apr - Mar), 2016"
Tamil Nadu,2018-19,Non Foodgrains,Raw Jute & Mesta,,,,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2016-17,Non Foodgrains,Cotton (Lintt),,,,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2013-14,Foodgrains,Wheat,,,,2013,"Financial Year (Apr - Mar), 2013"
Mizoram,2013-14,Foodgrains,Rice,59,38.8,1522,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2011-12,Non Foodgrains,Cotton (Lintt),12000,2962,689,2011,"Financial Year (Apr - Mar), 2011"
Goa,2018-19,Foodgrains,Rice,98.8,36.4,2717,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2011-12,Foodgrains,Rice,5807,4004.5,1450,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2017-18,Fruits,Fruits,547.5,53.8,,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2016-17,Vegetables,Vegetables,1783.8,93.1,,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2011-12,Foodgrains,Rice,569,208.2,2733,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2018-19,Non Foodgrains,Cotton (Lintt),,,,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2017-18,Foodgrains,Rice,450.9,190.6,2365,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2012-13,Non Foodgrains,Cotton (Lintt),2000,480,708,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2016-17,Non Foodgrains,Sugarcane,344.3,5.5,62714,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2015-16,Non Foodgrains,Sugarcane,6607,90,73411,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2017-18,Vegetables,Vegetables,8766.8,639.7,,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2011-12,Fruits,Fruits,405.9,49.5,,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2011-12,Non Foodgrains,Cotton (Lintt),,,,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2016-17,Non Foodgrains,Cotton (Lintt),1401.9,471,506,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2017-18,Non Foodgrains,Sugarcane,82984,902,92000,2017,"Financial Year (Apr - Mar), 2017"
Goa,2016-17,Non Foodgrains,Sugarcane,40.2,0.9,70710,2016,"Financial Year (Apr - Mar), 2016"
Mizoram,2016-17,Non Foodgrains,Sugarcane,50.5,1.6,31822,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2013-14,Vegetables,Vegetables,10161.8,726,,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2018-19,Fruits,Fruits,555.5,53.7,,2018,"Financial Year (Apr - Mar), 2018"
Tamil Nadu,2013-14,Non Foodgrains,Cotton (Lintt),408,152,456,2013,"Financial Year (Apr - Mar), 2013"
Telangana,2019-20,Non Foodgrains,Cotton (Lintt),6833,2127,546,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2012-13,Foodgrains,Pulses,1132.7,1338,847,2012,"Financial Year (Apr - Mar), 2012"
Bihar,2019-20,Vegetables,Vegetables,16764.5,884.6,,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2014-15,Foodgrains,Rice,2946,1551,1899,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2017-18,Non Foodgrains,Raw Jute & Mesta,,,,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2012-13,Fruits,Fruits,516.1,49.5,,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2012-13,Non Foodgrains,Sugarcane,37.3,13.5,2763,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2016-17,Non Foodgrains,Raw Jute & Mesta,7.9,5,289,2016,"Financial Year (Apr - Mar), 2016"
Assam,2017-18,Fruits,Fruits,2123.6,147.3,,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2016-17,Foodgrains,Rice,61.5,36.9,1669,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2014-15,Foodgrains,Rice,6322.1,3808.5,1660,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2019-20,Foodgrains,Coarse Cereals,0.4,0.2,2358,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2018-19,Non Foodgrains,Oilseeds,3733.6,2560.4,1458,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2016-17,Non Foodgrains,Oilseeds,4789.3,2776,1725,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2013-14,Vegetables,Vegetables,11571.2,582.3,,2013,"Financial Year (Apr - Mar), 2013"
Sikkim,2014-15,Vegetables,Vegetables,130.1,29.2,,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2012-13,Non Foodgrains,Raw Jute & Mesta,,,,2012,"Financial Year (Apr - Mar), 2012"
Jharkhand,2011-12,Non Foodgrains,Raw Jute & Mesta,,,,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2016-17,Vegetables,Vegetables,13161.3,643.9,,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2011-12,Foodgrains,Pulses,2432.1,4458,546,2011,"Financial Year (Apr - Mar), 2011"
