ROWID,Country,State lgd code,State,YearCode,Year,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank
416,India,24,Gujarat,2006,"Financial Year (Apr - Mar), 2006",1034.8,5244,9848,5714,3245,5283,144777,18702,27.9,16.98,,
417,India,24,Gujarat,2007,"Financial Year (Apr - Mar), 2007",1067.3,5408,10270,6246,3245,5309,145631,18625,24.9,24.14,,
418,India,24,Gujarat,2008,"Financial Year (Apr - Mar), 2008",1137.0,5761,11052,6875,3245,5328,146630,18447,26.1,33.63,,
419,India,24,Gujarat,2009,"Financial Year (Apr - Mar), 2009",1201.0,6085,12110,6748,3245,5328,153521,18460,24.1,45.16,,
420,India,24,Gujarat,2010,"Financial Year (Apr - Mar), 2010",1326.6,6722,13908,7037,3245,4999,155614,18421,22.8,58.46,,
421,India,24,Gujarat,2011,"Financial Year (Apr - Mar), 2011",1332.8,6753,15723,7165,3245,5271,156188,18421,19.2,81.9,,
422,India,24,Gujarat,2012,"Financial Year (Apr - Mar), 2012",1232.6,7443,21972,7470,4032,5257,163149,18480,21.8,91.13,,
423,India,24,Gujarat,2013,"Financial Year (Apr - Mar), 2013",1549.0,9351,26414,9366,3828,5257,165640,18506,18.5,87.23,,
424,India,24,Gujarat,2014,"Financial Year (Apr - Mar), 2014",1465.4,8849,27647,8850,4694,5259,179063,18017,18.1,90.54,,
425,India,24,Gujarat,2015,"Financial Year (Apr - Mar), 2015",1593.3,9621,28961,9624,4971,5259,182287,18017,19.3,95.61,71,1
426,India,24,Gujarat,2016,"Financial Year (Apr - Mar), 2016",1714.7,10354,29611,10354,4971,5259,179144,17201,19.1,100.06,98,3
427,India,24,Gujarat,2017,"Financial Year (Apr - Mar), 2017",1717.4,10370,30716,10370,5456,5259,180927,17201,18.2,113.71,98,5
428,India,24,Gujarat,2018,"Financial Year (Apr - Mar), 2018",1821.2,10997,31043,10999,,5285,201742,17201,17.9,112.45,,
429,India,24,Gujarat,2019,"Financial Year (Apr - Mar), 2019",1930.5,11636,32291,11659,6635,5320,,,20.3,107.21,,10
430,India,24,Gujarat,2020,"Financial Year (Apr - Mar), 2020",1890.4,11394,35211,11394,,5301,,,,103.51,,
431,India,24,Gujarat,2021,"Financial Year (Apr - Mar), 2021",1852.0,11162,37893,11162,7744,,,,,99.18,,
432,India,27,Maharashtra,2004,"Financial Year (Apr - Mar), 2004",,,,,,5497,,,,8.0,,
433,India,27,Maharashtra,2005,"Financial Year (Apr - Mar), 2005",841.7,8154,15669,9272,4176,5527,220937,33406,34.4,10.01,,
434,India,27,Maharashtra,2006,"Financial Year (Apr - Mar), 2006",868.2,8412,16157,10277,4176,5528,220447,33571,31.6,13.1,,
435,India,27,Maharashtra,2007,"Financial Year (Apr - Mar), 2007",920.1,8914,17380,11001,4176,5519,223142,33675,31.6,18.78,,
436,India,27,Maharashtra,2008,"Financial Year (Apr - Mar), 2008",968.7,9385,19583,11489,4176,5536,223322,33675,29.8,27.42,,
437,India,27,Maharashtra,2009,"Financial Year (Apr - Mar), 2009",988.5,9576,20415,12190,4176,5602,399416,32629,23.9,37.9,,
438,India,27,Maharashtra,2010,"Financial Year (Apr - Mar), 2010",1047.8,10151,21379,12494,4191,5602,406660,32823,25.2,50.3,,
493,India,30,Goa,2011,"Financial Year (Apr - Mar), 2011",2292.1,309,387,315,269,69,10627,279,15.3,,,
439,India,27,Maharashtra,2011,"Financial Year (Apr - Mar), 2011",1104.7,10702,22645,12830,4191,5602,410521,32823,20.7,68.97,,
440,India,27,Maharashtra,2012,"Financial Year (Apr - Mar), 2012",1047.6,11772,26142,14138,4257,5602,396685,32596,20.0,77.19,,
441,India,27,Maharashtra,2013,"Financial Year (Apr - Mar), 2013",1067.6,11997,30354,12398,4498,5725,589625,38765,21.8,73.97,,
442,India,27,Maharashtra,2014,"Financial Year (Apr - Mar), 2014",1100.5,12367,34867,12629,6249,5725,608690,39588,21.8,77.32,,
443,India,27,Maharashtra,2015,"Financial Year (Apr - Mar), 2015",1184.3,13308,38355,13490,7048,5725,608140,40144,20.4,80.75,49,8
444,India,27,Maharashtra,2016,"Financial Year (Apr - Mar), 2016",1258.0,14136,40376,14182,7435,5745,613418,39000,19.9,87.06,93,10
445,India,27,Maharashtra,2017,"Financial Year (Apr - Mar), 2017",1239.0,13923,41410,13929,16239,5784,623972,39000,18.2,95.88,93,13
446,India,27,Maharashtra,2018,"Financial Year (Apr - Mar), 2018",1330.7,14953,43255,14976,,5733,626521,38999,17.85,95.5,,
447,India,27,Maharashtra,2019,"Financial Year (Apr - Mar), 2019",1407.4,15816,44144,15829,17757,5819,,,19.46,92.83,,13
448,India,27,Maharashtra,2020,"Financial Year (Apr - Mar), 2020",1380.8,15517,43496,15517,,5829,,,,91.55,,
449,India,27,Maharashtra,2021,"Financial Year (Apr - Mar), 2021",1340.7,15066,44166,15068,17931,,,,,95.83,,
450,India,28,Andhra Pradesh,2004,"Financial Year (Apr - Mar), 2004",,,,,,5196,,,,7.85,,
451,India,28,Andhra Pradesh,2005,"Financial Year (Apr - Mar), 2005",656.9,5006,10809,5042,4472,5205,329407,9212,23.9,9.48,,
452,India,28,Andhra Pradesh,2006,"Financial Year (Apr - Mar), 2006",686.7,5233,11325,5303,4472,5185,336982,10231,20.1,13.45,,
453,India,28,Andhra Pradesh,2007,"Financial Year (Apr - Mar), 2007",764.7,5828,11642,6096,4472,5172,339002,10412,18.7,19.62,,
454,India,28,Andhra Pradesh,2008,"Financial Year (Apr - Mar), 2008",807.1,6151,11867,6414,4472,5170,345012,10518,22.4,28.25,,
455,India,28,Andhra Pradesh,2009,"Financial Year (Apr - Mar), 2009",874.9,6667,11639,7151,4537,5185,232280,10470,19.6,39.59,,
456,India,28,Andhra Pradesh,2010,"Financial Year (Apr - Mar), 2010",967.9,7377,13409,7900,4537,5241,235678,10481,18.4,57.23,,
457,India,28,Andhra Pradesh,2011,"Financial Year (Apr - Mar), 2011",1003.1,7645,15036,7897,4537,5264,238001,10491,16.6,74.35,,
458,India,28,Andhra Pradesh,2012,"Financial Year (Apr - Mar), 2012",1005.7,8515,16095,9173,4537,5264,256448,10650,17.5,80.87,,
459,India,28,Andhra Pradesh,2013,"Financial Year (Apr - Mar), 2013",970.5,8217,16949,9969,5022,5322,261657,10700,19.3,77.19,,
460,India,28,Andhra Pradesh,2014,"Financial Year (Apr - Mar), 2014",1051.6,8904,17731,9566,6590,3593,178096,6480,20.1,79.52,,
461,India,28,Andhra Pradesh,2015,"Financial Year (Apr - Mar), 2015",1140.2,5631,11275,5920,4670,3657,179022,6485,17.9,84.15,70,2
462,India,28,Andhra Pradesh,2016,"Financial Year (Apr - Mar), 2016",1019.8,5037,14827,5044,5465,3703,174367,6485,16.2,86.4,99,1
463,India,28,Andhra Pradesh,2017,"Financial Year (Apr - Mar), 2017",1098.6,5426,22298,5430,6383,3817,176474,6485,16.2,97.18,98,1
464,India,28,Andhra Pradesh,2018,"Financial Year (Apr - Mar), 2018",1180.3,5829,23674,5838,,3817,218190,13604,16.07,97.21,,
465,India,28,Andhra Pradesh,2019,"Financial Year (Apr - Mar), 2019",1289.4,6380,24184,6374,6912,3822,,,17.62,97.55,,1
466,India,28,Andhra Pradesh,2020,"Financial Year (Apr - Mar), 2020",1321.9,6541,24854,6545,,3965,,,,97.88,,
467,India,28,Andhra Pradesh,2021,"Financial Year (Apr - Mar), 2021",1254.5,6208,25484,6208,7340,,,,,99.56,,
468,India,29,Karnataka,2004,"Financial Year (Apr - Mar), 2004",,,,,,2980,,,,9.46,,
469,India,29,Karnataka,2005,"Financial Year (Apr - Mar), 2005",637.4,3369,7557,3516,3843,2982,210415,17240,26.1,12.19,,
470,India,29,Karnataka,2006,"Financial Year (Apr - Mar), 2006",649.9,3435,7785,3460,3843,3002,214211,17405,29.8,17.06,,
471,India,29,Karnataka,2007,"Financial Year (Apr - Mar), 2007",755.9,3995,7785,4080,3843,3006,253901,18749,25.9,25.05,,
472,India,29,Karnataka,2008,"Financial Year (Apr - Mar), 2008",742.3,3923,8877,4032,3843,3005,255454,20738,18.9,34.53,,
473,India,29,Karnataka,2009,"Financial Year (Apr - Mar), 2009",767.8,4058,9347,4317,4396,3007,274896,20905,17.0,45.21,,
474,India,29,Karnataka,2010,"Financial Year (Apr - Mar), 2010",795.5,4204,10386,4555,4396,3073,280147,20528,18.8,67.81,,
475,India,29,Karnataka,2011,"Financial Year (Apr - Mar), 2011",882.2,4662,11546,5047,4396,3073,281773,20770,17.3,87.76,,
476,India,29,Karnataka,2012,"Financial Year (Apr - Mar), 2012",883.7,5402,13394,6083,4396,3090,303128,20774,12.7,97.22,,
477,India,29,Karnataka,2013,"Financial Year (Apr - Mar), 2013",933.1,5704,13759,6627,4642,3228,305448,20749,11.1,91.24,,
478,India,29,Karnataka,2014,"Financial Year (Apr - Mar), 2014",949.6,5805,14270,6415,6177,3281,313184,20774,10.2,92.45,,
479,India,29,Karnataka,2015,"Financial Year (Apr - Mar), 2015",980.3,5993,15150,6264,6432,3281,321808,19721,11.5,97.54,49,9
480,India,29,Karnataka,2016,"Financial Year (Apr - Mar), 2016",997.4,6097,17037,6430,6503,3281,345515,19578,10.5,101.89,88,13
481,India,29,Karnataka,2017,"Financial Year (Apr - Mar), 2017",1088.5,6654,21317,6690,6991,3424,361041,19556,13.4,113.39,96,8
482,India,29,Karnataka,2018,"Financial Year (Apr - Mar), 2018",1107.5,6770,27157,6787,,3499,354505,19521,13.25,109.05,,
483,India,29,Karnataka,2019,"Financial Year (Apr - Mar), 2019",1172.7,7170,28075,7176,7335,3540,,,16.01,110.04,,17
484,India,29,Karnataka,2020,"Financial Year (Apr - Mar), 2020",1190.7,7280,29825,7280,,3542,,,,108.19,,
485,India,29,Karnataka,2021,"Financial Year (Apr - Mar), 2021",1125.9,6883,30091,6885,7412,,,,,105.85,,
486,India,30,Goa,2004,"Financial Year (Apr - Mar), 2004",,,,,,69,,,,,,
487,India,30,Goa,2005,"Financial Year (Apr - Mar), 2005",1592.4,215,305,215,269,69,10331,279,35.9,,,
488,India,30,Goa,2006,"Financial Year (Apr - Mar), 2006",1734.8,234,305,234,269,69,10420,279,19.7,,,
489,India,30,Goa,2007,"Financial Year (Apr - Mar), 2007",1933.7,261,311,262,269,69,10523,279,20.9,,,
490,India,30,Goa,2008,"Financial Year (Apr - Mar), 2008",2008.7,271,352,274,269,69,10569,279,21.2,,,
491,India,30,Goa,2009,"Financial Year (Apr - Mar), 2009",2043.5,275,357,280,269,69,10190,279,17.1,,,
492,India,30,Goa,2010,"Financial Year (Apr - Mar), 2010",2245.4,303,381,309,269,69,10356,279,17.0,,,
494,India,30,Goa,2012,"Financial Year (Apr - Mar), 2012",2045.0,298,400,302,269,69,11082,279,12.4,,,
495,India,30,Goa,2013,"Financial Year (Apr - Mar), 2013",2131.4,311,430,318,269,69,11598,279,13.4,,,
496,India,30,Goa,2014,"Financial Year (Apr - Mar), 2014",2655.5,387,400,389,269,69,13267,279,12.7,,,
497,India,30,Goa,2015,"Financial Year (Apr - Mar), 2015",2697.4,393,400,397,262,69,14624,279,15.0,,22,19
498,India,30,Goa,2016,"Financial Year (Apr - Mar), 2016",3511.6,512,412,512,262,69,16063,279,18.0,,18,21
499,India,30,Goa,2017,"Financial Year (Apr - Mar), 2017",2962.2,432,541,432,293,69,16659,279,18.0,,57,19
500,India,30,Goa,2018,"Financial Year (Apr - Mar), 2018",2824.3,412,549,412,,69,18607,280,17.21,,,
501,India,30,Goa,2019,"Financial Year (Apr - Mar), 2019",2936.1,429,567,428,293,69,,,16.23,,,24
502,India,30,Goa,2020,"Financial Year (Apr - Mar), 2020",2975.8,435,581,435,,69,,,,,,
503,India,30,Goa,2021,"Financial Year (Apr - Mar), 2021",2793.1,408,596,408,299,,,,,,,
504,India,31,Lakshadweep,2005,"Financial Year (Apr - Mar), 2005",,,10,,,,162,,10.2,,,
505,India,31,Lakshadweep,2006,"Financial Year (Apr - Mar), 2006",395.7,2,10,2,,,166,,11.2,,,
506,India,31,Lakshadweep,2007,"Financial Year (Apr - Mar), 2007",412.2,3,10,3,,,168,,12.9,,,
507,India,31,Lakshadweep,2008,"Financial Year (Apr - Mar), 2008",395.7,2,11,2,,,172,,18.1,,,
508,India,31,Lakshadweep,2009,"Financial Year (Apr - Mar), 2009",395.7,2,11,2,,,176,,24.9,,,
509,India,31,Lakshadweep,2010,"Financial Year (Apr - Mar), 2010",395.7,2,10,2,,,182,,11.6,,,
510,India,31,Lakshadweep,2011,"Financial Year (Apr - Mar), 2011",412.2,3,11,3,,,190,,25.7,,,
511,India,31,Lakshadweep,2012,"Financial Year (Apr - Mar), 2012",574.3,4,11,4,,,202,,22.5,,,
512,India,31,Lakshadweep,2013,"Financial Year (Apr - Mar), 2013",558.8,4,11,4,,,207,,18.6,,,
513,India,31,Lakshadweep,2014,"Financial Year (Apr - Mar), 2014",745.0,5,11,5,,,208,,11.2,,,
514,India,31,Lakshadweep,2015,"Financial Year (Apr - Mar), 2015",745.0,5,11,5,,,214,,3.6,,,
515,India,31,Lakshadweep,2016,"Financial Year (Apr - Mar), 2016",745.0,5,1,5,,,209,,9.8,,0,31
516,India,31,Lakshadweep,2017,"Financial Year (Apr - Mar), 2017",745.0,5,1,5,,,212,,7.0,,,34
517,India,31,Lakshadweep,2018,"Financial Year (Apr - Mar), 2018",745.0,5,1,5,,,224,,3.56,,,
518,India,31,Lakshadweep,2019,"Financial Year (Apr - Mar), 2019",714.0,5,1,5,,,,,2.24,,,15
519,India,31,Lakshadweep,2020,"Financial Year (Apr - Mar), 2020",714.0,5,1,5,,,,,,,,
520,India,31,Lakshadweep,2021,"Financial Year (Apr - Mar), 2021",869.2,6,1,6,,,,,,,,
521,India,32,Kerala,2004,"Financial Year (Apr - Mar), 2004",,,,,,1050,,,,14.87,,
522,India,32,Kerala,2005,"Financial Year (Apr - Mar), 2005",393.8,1254,3473,1269,1440,1050,169516,3784,22.5,18.77,,
523,India,32,Kerala,2006,"Financial Year (Apr - Mar), 2006",426.4,1358,3496,1367,1440,1050,187147,3788,23.5,25.54,,
524,India,32,Kerala,2007,"Financial Year (Apr - Mar), 2007",462.2,1472,3496,1502,1440,1050,197454,4737,19.1,33.54,,
525,India,32,Kerala,2008,"Financial Year (Apr - Mar), 2008",480.0,1528,3495,1566,1457,1050,204757,4137,17.8,45.34,,
526,India,32,Kerala,2009,"Financial Year (Apr - Mar), 2009",488.7,1556,3514,1765,1457,1050,200625,4341,13.2,58.48,,
527,India,32,Kerala,2010,"Financial Year (Apr - Mar), 2010",540.1,1720,3554,1762,1457,1050,200928,4341,19.6,80.36,,
528,India,32,Kerala,2011,"Financial Year (Apr - Mar), 2011",558.0,1777,3719,1802,1457,1050,201220,4341,18.3,100.01,,
529,India,32,Kerala,2012,"Financial Year (Apr - Mar), 2012",583.1,1947,3828,1989,1457,1050,215438,4341,17.2,106.61,,
530,India,32,Kerala,2013,"Financial Year (Apr - Mar), 2013",610.7,2039,3856,2124,1457,1050,185030,4341,17.7,96.09,,
531,India,32,Kerala,2014,"Financial Year (Apr - Mar), 2014",630.5,2105,3892,2158,1700,1050,193460,4341,15.0,96.19,,
532,India,32,Kerala,2015,"Financial Year (Apr - Mar), 2015",662.7,2213,4107,2246,1811,1050,194854,4341,15.4,95.41,23,18
533,India,32,Kerala,2016,"Financial Year (Apr - Mar), 2016",694.7,2319,4163,2332,1812,1045,200808,4342,11.6,102.33,27,20
534,India,32,Kerala,2017,"Financial Year (Apr - Mar), 2017",726.6,2426,4999,2430,1782,1045,240562,4342,18.1,114.75,45,21
535,India,32,Kerala,2018,"Financial Year (Apr - Mar), 2018",746.3,2492,5083,2500,,1045,257085,4342,15.76,121.61,,
536,India,32,Kerala,2019,"Financial Year (Apr - Mar), 2019",746.2,2490,5083,2503,1782,1045,,,16.39,126.15,,28
537,India,32,Kerala,2020,"Financial Year (Apr - Mar), 2020",787.2,2627,5696,2632,,1045,,,,123.19,,
538,India,32,Kerala,2021,"Financial Year (Apr - Mar), 2021",752.3,2510,5837,2512,1782,,,,,129.45,,
539,India,33,Tamil Nadu,2004,"Financial Year (Apr - Mar), 2004",,,,,,4201,,,,8.54,,
540,India,33,Tamil Nadu,2005,"Financial Year (Apr - Mar), 2005",762.3,4757,11493,4787,4183,4171,176209,7207,19.3,11.37,,
541,India,33,Tamil Nadu,2006,"Financial Year (Apr - Mar), 2006",863.0,5385,12331,5419,4462,4171,179348,6833,18.7,14.7,,
542,India,33,Tamil Nadu,2007,"Financial Year (Apr - Mar), 2007",968.6,6045,12376,6150,4462,4121,180823,9256,19.5,22.55,,
543,India,33,Tamil Nadu,2008,"Financial Year (Apr - Mar), 2008",1024.8,6395,13563,6578,4462,4131,181213,9264,18.7,35.09,,
544,India,33,Tamil Nadu,2009,"Financial Year (Apr - Mar), 2009",1028.9,6421,14089,6967,4832,4107,188037,9384,18.1,50.46,,
545,India,33,Tamil Nadu,2010,"Financial Year (Apr - Mar), 2010",1146.8,7157,14410,7629,4832,4061,190055,9384,18.4,74.31,,
546,India,33,Tamil Nadu,2011,"Financial Year (Apr - Mar), 2011",1203.4,7510,15515,8031,4832,4062,192339,10561,13.5,97.73,,
547,India,33,Tamil Nadu,2012,"Financial Year (Apr - Mar), 2012",1063.3,7671,17602,8569,4943,3943,230200,10764,16.3,116.61,,
548,India,33,Tamil Nadu,2013,"Financial Year (Apr - Mar), 2013",1055.8,7616,19433,9230,4943,4027,238004,10764,14.5,108.17,,
549,India,33,Tamil Nadu,2014,"Financial Year (Apr - Mar), 2014",1219.6,8798,21193,9351,4975,4027,254205,11594,10.8,111.14,,
550,India,33,Tamil Nadu,2015,"Financial Year (Apr - Mar), 2015",1285.7,9275,22884,9576,5006,4027,261100,11752,11.1,117.52,45,12
551,India,33,Tamil Nadu,2016,"Financial Year (Apr - Mar), 2016",1338.9,9659,24747,9728,4946,4027,261035,11752,10.8,118.13,63,18
552,India,33,Tamil Nadu,2017,"Financial Year (Apr - Mar), 2017",1448.4,10449,29112,10451,5918,4028,261436,12095,12.6,128.41,91,15
553,India,33,Tamil Nadu,2018,"Financial Year (Apr - Mar), 2018",1467.2,10584,30327,10601,,4030,270007,11830,15.94,136.36,,
554,India,33,Tamil Nadu,2019,"Financial Year (Apr - Mar), 2019",1514.8,10938,31059,10938,6742,4031,,,19.12,116.94,,14
555,India,33,Tamil Nadu,2020,"Financial Year (Apr - Mar), 2020",1506.9,10881,32840,10882,,4036,,,,115.45,,
556,India,33,Tamil Nadu,2021,"Financial Year (Apr - Mar), 2021",1401.4,10119,33695,10119,6858,,,,,108.22,,
557,India,34,Puducherry,2004,"Financial Year (Apr - Mar), 2004",,,,,,11,,,,,,
558,India,34,Puducherry,2005,"Financial Year (Apr - Mar), 2005",1577.5,154,245,154,53,11,2613,35,18.2,,,
559,India,34,Puducherry,2006,"Financial Year (Apr - Mar), 2006",1722.2,168,260,168,53,11,2624,36,18.5,,,
560,India,34,Puducherry,2007,"Financial Year (Apr - Mar), 2007",1855.6,181,260,181,53,11,2696,37,18.8,,,
561,India,34,Puducherry,2008,"Financial Year (Apr - Mar), 2008",1889.5,184,257,184,53,11,2696,37,5.9,,,
562,India,34,Puducherry,2009,"Financial Year (Apr - Mar), 2009",1819.7,177,257,202,53,11,2712,38,12.2,,,
563,India,34,Puducherry,2010,"Financial Year (Apr - Mar), 2010",2027.0,198,256,212,53,11,2727,38,11.8,,,
564,India,34,Puducherry,2011,"Financial Year (Apr - Mar), 2011",2092.7,204,264,212,53,11,2740,40,12.4,,,
565,India,34,Puducherry,2012,"Financial Year (Apr - Mar), 2012",1716.4,214,280,217,53,22,2585,38,14.7,,,
566,India,34,Puducherry,2013,"Financial Year (Apr - Mar), 2013",1841.0,229,282,233,53,22,2890,41,13.5,,,
567,India,34,Puducherry,2014,"Financial Year (Apr - Mar), 2014",1864.3,232,284,234,53,22,3020,40,14.8,,,
568,India,34,Puducherry,2015,"Financial Year (Apr - Mar), 2015",1909.3,238,330,240,64,22,3072,89,14.9,,18,20
569,India,34,Puducherry,2016,"Financial Year (Apr - Mar), 2016",1951.8,243,335,244,64,22,3174,89,14.0,,1,26
570,India,34,Puducherry,2017,"Financial Year (Apr - Mar), 2017",2045.9,255,367,255,64,22,3242,0,15.6,,16,27
571,India,34,Puducherry,2018,"Financial Year (Apr - Mar), 2018",2139.1,266,369,267,,22,4293,0,17.93,,,
572,India,34,Puducherry,2019,"Financial Year (Apr - Mar), 2019",2210.6,276,370,276,27,22,,,13.26,,,27
573,India,34,Puducherry,2020,"Financial Year (Apr - Mar), 2020",2282.8,285,375,285,,22,,,,,,
574,India,34,Puducherry,2021,"Financial Year (Apr - Mar), 2021",2120.8,264,380,264,64,,,,,,,
575,India,35,Andaman And Nicobar Islands,2004,"Financial Year (Apr - Mar), 2004",,,,,,,,,,11.56,,
576,India,35,Andaman And Nicobar Islands,2005,"Financial Year (Apr - Mar), 2005",,,65,,300,,1298,146,12.6,12.63,,
577,India,35,Andaman And Nicobar Islands,2006,"Financial Year (Apr - Mar), 2006",466.1,17,71,24,300,,1301,146,24.3,17.97,,
578,India,35,Andaman And Nicobar Islands,2007,"Financial Year (Apr - Mar), 2007",533.5,19,71,24,300,,1303,146,23.1,17.39,,
579,India,35,Andaman And Nicobar Islands,2008,"Financial Year (Apr - Mar), 2008",505.4,18,65,24,300,,1301,146,26.9,18.36,,
580,India,35,Andaman And Nicobar Islands,2009,"Financial Year (Apr - Mar), 2009",516.6,18,65,24,300,,1297,146,24.2,21.24,,
581,India,35,Andaman And Nicobar Islands,2010,"Financial Year (Apr - Mar), 2010",505.4,18,65,24,300,,1302,146,19.8,29.96,,
582,India,35,Andaman And Nicobar Islands,2011,"Financial Year (Apr - Mar), 2011",505.4,18,65,24,300,,1386,229,20.7,,,
583,India,35,Andaman And Nicobar Islands,2012,"Financial Year (Apr - Mar), 2012",536.9,20,65,24,300,,1319,246,18.2,,,
584,India,35,Andaman And Nicobar Islands,2013,"Financial Year (Apr - Mar), 2013",489.5,19,65,24,300,,1388,264,18.1,,,
585,India,35,Andaman And Nicobar Islands,2014,"Financial Year (Apr - Mar), 2014",473.8,18,70,24,300,,1318,279,19.8,,,
586,India,35,Andaman And Nicobar Islands,2015,"Financial Year (Apr - Mar), 2015",473.8,18,70,24,331,,1352,279,20.5,,10,25
587,India,35,Andaman And Nicobar Islands,2016,"Financial Year (Apr - Mar), 2016",473.8,18,50,24,331,,1493,266,14.4,,0,31
588,India,35,Andaman And Nicobar Islands,2017,"Financial Year (Apr - Mar), 2017",473.8,18,52,24,331,,1617,266,10.7,,1,31
589,India,35,Andaman And Nicobar Islands,2018,"Financial Year (Apr - Mar), 2018",789.6,30,52,33,,,1794,257,12.39,,,
590,India,35,Andaman And Nicobar Islands,2019,"Financial Year (Apr - Mar), 2019",850.1,32,57,35,331,,,,10.84,,,22
591,India,35,Andaman And Nicobar Islands,2020,"Financial Year (Apr - Mar), 2020",850.1,32,57,35,,,,,,,,
592,India,35,Andaman And Nicobar Islands,2021,"Financial Year (Apr - Mar), 2021",850.1,32,75,35,331,,,,,,,
593,India,36,Telangana,2004,"Financial Year (Apr - Mar), 2004",,,,,,,,,,,,
594,India,36,Telangana,2005,"Financial Year (Apr - Mar), 2005",,,,,,,,,,,,
595,India,36,Telangana,2006,"Financial Year (Apr - Mar), 2006",,,,,,,,,,,,
596,India,36,Telangana,2007,"Financial Year (Apr - Mar), 2007",,,,,,,,,,,,
597,India,36,Telangana,2008,"Financial Year (Apr - Mar), 2008",,,,,,,,,,,,
598,India,36,Telangana,2009,"Financial Year (Apr - Mar), 2009",,,,,,,,,,,,
599,India,36,Telangana,2010,"Financial Year (Apr - Mar), 2010",,,,,,,,,,,,
600,India,36,Telangana,2011,"Financial Year (Apr - Mar), 2011",,,,,,,,,,,,
601,India,36,Telangana,2012,"Financial Year (Apr - Mar), 2012",,,,,,,,,,,,
602,India,36,Telangana,2013,"Financial Year (Apr - Mar), 2013",,,,,,,,,,,,
603,India,36,Telangana,2014,"Financial Year (Apr - Mar), 2014",,,,,,1753,92215,3385,,,,
604,India,36,Telangana,2015,"Financial Year (Apr - Mar), 2015",1151.8,4064,9470,4334,2687,1676,100251,2744,15.7,,42,13
605,India,36,Telangana,2016,"Financial Year (Apr - Mar), 2016",1415.5,4995,10892,5025,2696,1737,123572,2731,16.5,,99,1
606,India,36,Telangana,2017,"Financial Year (Apr - Mar), 2017",1502.5,5302,11501,5303,3786,1823,126135,2553,18.7,,98,2
607,India,36,Telangana,2018,"Financial Year (Apr - Mar), 2018",1707.1,6024,15139,6032,,1823,128071,2149,18.26,,,
608,India,36,Telangana,2019,"Financial Year (Apr - Mar), 2019",1888.4,6643,15826,6670,3795,1823,,,14.85,,,3
609,India,36,Telangana,2020,"Financial Year (Apr - Mar), 2020",1941.7,6830,16024,6831,,1828,,,,,,
610,India,36,Telangana,2021,"Financial Year (Apr - Mar), 2021",1904.5,6699,17218,6700,3974,,,,,,,
611,India,37,Ladakh,2004,"Financial Year (Apr - Mar), 2004",,,,,,2.3368669045753536,,,,3.01,,
612,India,37,Ladakh,2005,"Financial Year (Apr - Mar), 2005",728.2,14.03321682446006912951,28.52218088002574266918,15.45742692166508291126,20.0337652340157918,3.3592461753270708,530.9312922468024726,1.6309383604848822,41.1,5.09,,
613,India,37,Ladakh,2006,"Financial Year (Apr - Mar), 2006",756.3,14.56492192741660760803,27.62967588577726736595,17.60323680145397034243,30.3062426687116170,3.3592461753270708,536.5787205995262438,1.6309383604848822,44.9,12.18,,
614,India,37,Ladakh,2007,"Financial Year (Apr - Mar), 2007",787.0,15.15359543426134663782,30.87687490740469878834,22.27464592028641554657,30.3062426687116170,3.3592461753270708,536.9438560533661428,1.6309383604848822,52.0,16.08,,
615,India,37,Ladakh,2008,"Financial Year (Apr - Mar), 2008",824.4,15.87519521684522028724,32.45300074831158070681,22.36959326010008313202,30.3062426687116170,3.9678052650602358,543.3945824045376918,1.6309383604848822,55.7,21.84,,
616,India,37,Ladakh,2009,"Financial Year (Apr - Mar), 2009",857.5,16.52083712757815986830,40.99826133154166339731,21.78091975325534410223,30.3062426687116170,5.8178248978490574,598.3596393892371546,1.6309383604848822,58.0,32.76,,
617,India,37,Ladakh,2010,"Financial Year (Apr - Mar), 2010",979.2,18.85654168699438247037,42.99215546762868269176,25.06609771080824255880,30.3062426687116170,6.2316450788676096,627.3027096969464820,1.6309383604848822,67.4,49.91,,
618,India,37,Ladakh,2011,"Financial Year (Apr - Mar), 2011",1003.6,19.33127838606272039762,43.59981844243615523864,25.76870802542938269113,30.3062426687116170,6.2316450788676096,656.7569696400316680,1.6309383604848822,63.3,50.9,,
619,India,37,Ladakh,2012,"Financial Year (Apr - Mar), 2012",867.7,20.67953061141680011101,43.80870259002622392663,27.05999184689526185325,30.3062426687116170,6.2316450788676096,884.9179435627898898,1.6309383604848822,61.8,54.82,,
620,India,37,Ladakh,2013,"Financial Year (Apr - Mar), 2013",921.0,21.95182496491994575604,45.46078630278403991346,29.26277013057234983569,41.2603062839085870,6.2316450788676096,1085.5963889931983802,,56.6,58.57,,
621,India,37,Ladakh,2014,"Financial Year (Apr - Mar), 2014",971.2,23.14816144657215733271,48.97383787588974057511,29.64255948982702017749,56.4499411636483854,6.6454652598861618,951.9568128877953462,3.1888496302017846,54.7,66.8,,
622,India,37,Ladakh,2015,"Financial Year (Apr - Mar), 2015",1045.4,24.91418196710637442208,49.58150085069721312199,30.78192756759103120289,63.1197487871238738,7.2540243496193268,951.6890468883127536,3.1888496302017846,53.1,76.93,6,0.63432105857802780110
